id,category,sub_category,lat,lon,geometry,cluster
171510619,education,school,28.7056266,77.11872029999999,POINT (28.7056266 77.11872029999999),2
171510626,education,school,28.7103211,77.1119556,POINT (28.7103211 77.1119556),2
171510634,education,school,28.7066755,77.1133061,POINT (28.7066755 77.1133061),2
171514881,education,school,28.697063699999998,77.09608890000001,POINT (28.6970637 77.09608890000001),2
171514883,education,school,28.698114399999998,77.0961334,POINT (28.6981144 77.0961334),2
171527942,education,school,28.690568100000004,77.0813892,POINT (28.6905681 77.0813892),2
171545989,education,school,28.696044699999998,77.12368590000001,POINT (28.6960447 77.12368590000001),2
171545992,education,school,28.694816999999997,77.1221192,POINT (28.694817 77.1221192),2
171545997,education,school,28.697564,77.12859959999999,POINT (28.697564 77.12859959999999),2
171598616,education,school,28.693899699999996,77.1425318,POINT (28.6938997 77.1425318),2
171603491,education,school,28.688884899999998,77.14701409999999,POINT (28.6888849 77.14701409999999),2
171613283,education,school,28.6881303,77.1261735,POINT (28.6881303 77.12617349999999),2
171613287,education,school,28.6895558,77.12125259999999,POINT (28.6895558 77.12125259999999),2
171613296,education,school,28.6928498,77.122478,POINT (28.6928498 77.122478),2
171613297,education,school,28.6819235,77.1361933,POINT (28.6819235 77.1361933),2
171613299,education,school,28.680135600000003,77.1404541,POINT (28.6801356 77.1404541),2
171613306,education,school,28.686612699999998,77.13167829999999,POINT (28.6866127 77.13167829999999),2
171613313,education,school,28.6810554,77.14148859999999,POINT (28.6810554 77.14148859999999),2
171616390,education,school,28.690525899999997,77.0835833,POINT (28.6905259 77.0835833),2
171616394,education,school,28.690496000000003,77.08535359999999,POINT (28.690496 77.08535359999999),2
171616398,education,school,28.691563300000002,77.0787122,POINT (28.6915633 77.0787122),2
171616400,education,school,28.6930395,77.087125,POINT (28.6930395 77.087125),2
171616401,education,school,28.6906152,77.079545,POINT (28.6906152 77.079545),2
171619889,education,school,28.6950017,77.0835709,POINT (28.6950017 77.0835709),2
171619891,education,school,28.6949727,77.085382,POINT (28.6949727 77.085382),2
171619892,education,school,28.6968494,77.083814,POINT (28.6968494 77.083814),2
171633225,education,school,28.689403000000002,77.09096159999999,POINT (28.689403 77.09096159999999),2
171633227,education,school,28.690376500000003,77.0909829,POINT (28.6903765 77.0909829),2
171633228,education,school,28.6961528,77.0934639,POINT (28.6961528 77.0934639),2
171633229,education,school,28.6904224,77.08897209999999,POINT (28.6904224 77.08897209999999),2
171633230,education,school,28.6917811,77.0910205,POINT (28.6917811 77.0910205),2
171633231,education,school,28.6935029,77.0951015,POINT (28.6935029 77.0951015),2
171633233,education,school,28.690464799999997,77.08710740000001,POINT (28.6904648 77.08710740000001),2
171640369,education,school,28.6888907,77.0922922,POINT (28.6888907 77.0922922),2
171648768,education,school,28.714779600000004,77.1093448,POINT (28.7147796 77.1093448),2
171648769,education,school,28.7036907,77.0964694,POINT (28.7036907 77.0964694),2
171648770,education,school,28.7126933,77.1074849,POINT (28.7126933 77.1074849),2
171648785,education,school,28.7138778,77.1038081,POINT (28.7138778 77.10380809999999),2
171656609,education,school,28.714753700000003,77.1025566,POINT (28.7147537 77.1025566),2
171663389,education,school,28.7068767,77.09027979999999,POINT (28.7068767 77.09027979999999),2
171663390,education,school,28.7074364,77.0905752,POINT (28.7074364 77.0905752),2
171675032,education,school,28.7204565,77.0942108,POINT (28.7204565 77.0942108),2
171675033,education,school,28.722007300000005,77.09511440000001,POINT (28.7220073 77.09511440000001),2
171675034,education,school,28.7163115,77.085933,POINT (28.7163115 77.085933),2
171675036,education,school,28.7158359,77.08328459999998,POINT (28.7158359 77.08328459999998),2
172299274,education,school,28.8067446,77.05425079999999,POINT (28.8067446 77.05425079999999),2
172299275,education,school,28.804100899999995,77.05456590000001,POINT (28.80410089999999 77.05456590000001),2
172299276,education,school,28.8067005,77.04971490000001,POINT (28.8067005 77.04971490000001),2
172493269,education,school,28.537899300000003,77.3002056,POINT (28.5378993 77.3002056),2
174767576,education,school,28.5507022,76.9055948,POINT (28.5507022 76.9055948),2
174864085,education,school,28.548034,77.2932612,POINT (28.548034 77.2932612),2
175800209,education,school,28.651688800000002,77.29591440000002,POINT (28.6516888 77.29591440000002),2
176162456,education,school,28.499531199999996,77.2384606,POINT (28.4995312 77.2384606),2
189430835,education,school,28.5951687,77.03979240000001,POINT (28.5951687 77.03979240000001),2
189447665,education,school,28.5890939,77.0576892,POINT (28.5890939 77.0576892),2
189447670,education,school,28.585685700000003,77.0622582,POINT (28.5856857 77.0622582),2
189447985,education,school,28.5822331,77.0590088,POINT (28.5822331 77.0590088),2
189447986,education,school,28.584593800000004,77.0583446,POINT (28.5845938 77.0583446),2
189450635,education,school,28.553580600000004,77.0377998,POINT (28.5535806 77.0377998),2
189450636,education,school,28.556294,77.03931999999999,POINT (28.556294 77.03931999999999),2
190291170,education,school,28.537768699999997,77.14814140000001,POINT (28.5377687 77.14814140000001),2
190291171,education,school,28.539597399999998,77.1391416,POINT (28.5395974 77.1391416),2
190291267,education,school,28.533738,77.14449259999999,POINT (28.533738 77.14449259999999),2
